replicate,baseline_unique,policy_unique,baseline_steps,policy_steps,baseline_time,policy_time,delta_unique,delta_steps
46,56.0,56.0,1000.0,1000.0,7.2479248046875e-05,0.00472712516784668,0.0,0.0
47,56.0,55.0,1000.0,1000.0,7.43865966796875e-05,0.004690885543823242,-1.0,0.0
48,56.0,55.0,1000.0,1000.0,8.916854858398438e-05,0.004683494567871094,-1.0,0.0
49,56.0,55.0,1000.0,1000.0,7.486343383789062e-05,0.00468134880065918,-1.0,0.0
50,56.0,55.0,1000.0,1000.0,7.224082946777344e-05,0.004691123962402344,-1.0,0.0
51,56.0,56.0,1000.0,1000.0,7.343292236328125e-05,0.004659175872802734,0.0,0.0
52,56.0,56.0,1000.0,1000.0,8.916854858398438e-05,0.0046825408935546875,0.0,0.0
53,56.0,56.0,1000.0,1000.0,7.200241088867188e-05,0.004668235778808594,0.0,0.0
54,56.0,56.0,1000.0,1000.0,7.343292236328125e-05,0.004701375961303711,0.0,0.0
55,56.0,56.0,1000.0,1000.0,7.486343383789062e-05,0.0047113895416259766,0.0,0.0
56,56.0,56.0,1000.0,1000.0,7.271766662597656e-05,0.0047054290771484375,0.0,0.0
57,56.0,56.0,1000.0,1000.0,7.2479248046875e-05,0.004700183868408203,0.0,0.0
58,56.0,55.0,1000.0,1000.0,7.224082946777344e-05,0.004742622375488281,-1.0,0.0
59,56.0,55.0,1000.0,1000.0,7.367134094238281e-05,0.004680633544921875,-1.0,0.0
60,56.0,56.0,1000.0,1000.0,7.319450378417969e-05,0.0047070980072021484,0.0,0.0
61,56.0,55.0,1000.0,1000.0,9.179115295410156e-05,0.004680633544921875,-1.0,0.0
62,56.0,55.0,1000.0,1000.0,7.271766662597656e-05,0.004669189453125,-1.0,0.0
63,56.0,55.0,1000.0,1000.0,7.104873657226562e-05,0.004645347595214844,-1.0,0.0
64,56.0,56.0,1000.0,1000.0,7.176399230957031e-05,0.004701852798461914,0.0,0.0
65,56.0,56.0,1000.0,1000.0,8.702278137207031e-05,0.004659175872802734,0.0,0.0
66,56.0,56.0,1000.0,1000.0,7.224082946777344e-05,0.004679203033447266,0.0,0.0
67,56.0,55.0,1000.0,1000.0,7.152557373046875e-05,0.004708290100097656,-1.0,0.0
68,56.0,55.0,1000.0,1000.0,7.390975952148438e-05,0.00468134880065918,-1.0,0.0
69,56.0,55.0,1000.0,1000.0,7.43865966796875e-05,0.00467991828918457,-1.0,0.0
70,56.0,56.0,1000.0,1000.0,7.128715515136719e-05,0.004689931869506836,0.0,0.0
